seed,final_acc,min_acc,min_correct_logit,best_s1,best_s2,best_delta_theta,d_model,n_layers
0,0.99925,0.0,-1.3582444190979004,1.5,-0.5,20.0,512,4
1,0.99975,0.0002500000118743628,-2.0536913871765137,1.5,-1.5,10.0,512,4
2,0.9965,0.003000000026077032,-2.5220820903778076,1.5,-1.5,0.0,512,4
3,0.998,0.0,-2.8133623600006104,2.0,-1.5,0.0,512,4
4,0.99475,0.003750000149011612,-0.46994447708129883,2.0,0.0,50.0,512,4
5,0.991,0.008750000037252903,-0.5107975602149963,0.5,3.0,30.0,512,4
6,1.0,0.0,-3.031874179840088,1.5,-1.5,0.0,512,4
7,0.99525,0.002250000135973096,-0.9268643260002136,-0.5,3.5,50.0,512,4
8,0.9995,0.0002500000118743628,-1.2888787984848022,1.0,3.5,20.0,512,4
9,0.99975,0.0002500000118743628,-2.127687931060791,1.5,-1.5,0.0,512,4
10,0.99075,0.005500000435858965,-1.9705994129180908,2.5,0.0,20.0,512,4
11,0.9995,0.0,-1.9214779138565063,1.5,-1.5,10.0,512,4
12,1.0,0.0,-2.5528507232666016,1.5,-1.5,0.0,512,4
13,1.0,0.0,-2.6922497749328613,1.5,-1.5,0.0,512,4
14,1.0,0.0,-2.525815010070801,1.5,-1.5,0.0,512,4
15,0.99925,0.000750000006519258,-1.8891937732696533,1.5,-1.5,0.0,512,4
16,0.9985,0.001500000013038516,-2.211329221725464,1.5,-1.5,0.0,512,4
17,0.992,0.00800000037997961,-1.9649864435195923,1.5,-1.5,0.0,512,4
18,1.0,0.0,-2.302142381668091,1.5,-1.5,0.0,512,4
19,0.99975,0.0,-1.6382559537887573,1.5,-1.5,10.0,512,4
20,1.0,0.0,-3.4970312118530273,1.5,-1.5,0.0,512,4
21,0.999,0.0005000000237487257,-1.013753890991211,1.0,1.5,20.0,512,4
22,0.9985,0.0012500000884756446,-0.9358180165290833,1.0,1.5,20.0,512,4
23,1.0,0.0,-3.082056999206543,1.5,-1.5,0.0,512,4
24,0.99175,0.002500000176951289,-1.8568223714828491,3.0,-1.5,20.0,512,4
25,1.0,0.0,-2.045097589492798,1.5,-1.5,0.0,512,4
26,0.9955,0.004500000271946192,-1.166609287261963,2.5,-1.5,30.0,512,4
27,1.0,0.0,-2.0564138889312744,1.5,-1.5,0.0,512,4
28,0.99,0.010000000707805157,-2.2887730598449707,1.5,-1.5,0.0,512,4
29,0.99825,0.001500000013038516,-2.5201900005340576,0.0,3.5,60.0,512,4
30,0.99725,0.0,-1.3650768995285034,1.5,-1.5,10.0,512,4
31,0.99175,0.006500000134110451,-0.925117015838623,1.5,-0.5,20.0,512,4
32,0.9975,0.0020000000949949026,-1.1447949409484863,1.0,1.5,20.0,512,4
33,0.99775,0.0010000000474974513,-0.17449289560317993,1.5,1.0,80.0,512,4
34,0.99825,0.0012500000884756446,-0.8572898507118225,3.5,-1.0,40.0,512,4
35,0.9965,0.0012500000884756446,-2.688657522201538,3.0,-0.5,20.0,512,4
36,0.998,0.0005000000237487257,-1.1302869319915771,0.5,3.0,40.0,512,4
37,0.995,0.0012500000884756446,-0.5643295049667358,1.0,1.5,20.0,512,4
38,0.99025,0.007250000257045031,-0.4909120202064514,0.5,2.5,40.0,512,4
39,0.99975,0.0,-1.9662421941757202,1.5,-1.5,10.0,512,4
