seed,final_acc,min_acc,min_correct_logit,best_s1,best_s2,best_delta_theta
0,0.592,0.4059999883174896,0.5712659358978271,3.5,0.375,45.0
1,0.6133333333333333,0.39399999380111694,-7.540406227111816,-1.5,-0.25,75.0
2,0.5926666666666667,0.40666666626930237,-1.9050650596618652,1.0,2.875,45.0
3,0.614,0.38600000739097595,22.47930145263672,-1.5,-1.5,0.0
4,0.6086666666666667,0.39133334159851074,-9.170658111572266,-1.5,-1.5,0.0
5,0.5846666666666667,0.4153333306312561,-4.558363437652588,-1.5,-1.5,0.0
6,0.5846666666666667,0.41466665267944336,20.254846572875977,3.5,-0.25,75.0
7,0.6226666666666667,0.36666667461395264,-5.919057369232178,-0.875,-0.25,75.0
8,0.5953333333333334,0.4013333320617676,7.69013786315918,-1.5,-0.25,75.0
9,0.6053333333333333,0.38733333349227905,-5.990365028381348,-1.5,-1.5,0.0
10,0.5866666666666667,0.39266666769981384,17.438583374023438,2.25,-1.5,0.0
11,0.59,0.40933331847190857,-59.68975830078125,-1.5,-0.875,15.0
12,0.6053333333333333,0.3946666717529297,2.7369637489318848,-1.5,-1.5,0.0
13,0.602,0.3959999978542328,-0.3955449163913727,2.25,0.375,60.0
14,0.572,0.4000000059604645,-2.4436750411987305,-0.25,3.5,15.0
15,0.616,0.3813333213329315,11.701814651489258,2.25,1.0,45.0
16,0.5506666666666666,0.39133334159851074,6.846421718597412,1.0,-1.5,0.0
17,0.5986666666666667,0.4000000059604645,3.5109875202178955,3.5,0.375,75.0
18,0.6093333333333333,0.390666663646698,-36.22833251953125,-1.5,-1.5,0.0
19,0.5926666666666667,0.39933332800865173,-1.1317031383514404,-0.25,-1.5,30.0
20,0.596,0.4039999842643738,35.10285568237305,-1.5,-1.5,0.0
21,0.608,0.3919999897480011,15.756479263305664,-1.5,-1.5,0.0
22,0.5913333333333334,0.4086666703224182,9.300119400024414,-1.5,0.375,0.0
23,0.5786666666666667,0.414000004529953,5.624887943267822,-0.25,-0.875,15.0
