seed,final_acc,min_acc,min_correct_logit,best_s1,best_s2,best_delta_theta,d_model,n_layers
0,0.99825,0.001500000013038516,-0.7369524240493774,1.0,1.5,20.0,256,2
1,0.99625,0.003000000026077032,-1.5980027914047241,1.0,1.5,30.0,256,2
2,0.99075,0.008750000037252903,-2.009654998779297,1.5,3.5,0.0,256,2
3,0.9965,0.002250000135973096,-2.3988795280456543,1.5,1.0,0.0,256,2
4,1.0,0.0,-2.8496649265289307,1.5,-1.5,0.0,256,2
5,0.99925,0.0,-1.2925893068313599,1.0,1.5,30.0,256,2
6,0.99975,0.0,-2.2138986587524414,1.5,-1.5,10.0,256,2
7,1.0,0.0,-2.764911413192749,1.5,-1.5,0.0,256,2
8,1.0,0.0,-3.1461265087127686,1.5,-1.5,0.0,256,2
9,0.99525,0.004000000189989805,-0.5381320118904114,1.0,3.0,10.0,256,2
10,0.996,0.004000000189989805,-2.4531753063201904,1.5,-1.5,0.0,256,2
11,1.0,0.0,-2.936605215072632,1.5,-1.5,0.0,256,2
12,0.9985,0.000750000006519258,-1.7379976511001587,2.0,-0.5,20.0,256,2
13,0.998,0.000750000006519258,-1.226608157157898,1.5,0.0,20.0,256,2
14,0.99975,0.0,-3.1232047080993652,1.5,-1.5,0.0,256,2
15,0.99925,0.000750000006519258,-2.9278855323791504,1.5,-1.5,0.0,256,2
16,1.0,0.0,-1.828410267829895,1.5,-1.5,0.0,256,2
17,1.0,0.0,-2.968514919281006,1.5,-1.5,0.0,256,2
18,0.99975,0.0002500000118743628,-2.837353467941284,1.5,-1.5,0.0,256,2
19,1.0,0.0,-2.920771360397339,1.5,-1.5,0.0,256,2
20,0.9935,0.005000000353902578,-0.5763723850250244,1.5,-1.5,20.0,256,2
21,0.998,0.0020000000949949026,-2.549053430557251,1.5,-1.5,0.0,256,2
22,0.99225,0.007250000257045031,-2.8215630054473877,1.5,1.0,0.0,256,2
23,0.99775,0.0012500000884756446,-1.2273434400558472,1.0,1.5,20.0,256,2
24,0.999,0.000750000006519258,-2.9526212215423584,2.0,-1.0,10.0,256,2
25,0.99925,0.000750000006519258,-2.692411422729492,1.5,-1.5,0.0,256,2
26,0.9935,0.005500000435858965,-1.2157403230667114,1.0,2.0,20.0,256,2
27,0.9995,0.0005000000237487257,-2.593047857284546,1.5,-1.5,0.0,256,2
28,0.99975,0.0002500000118743628,-2.7319562435150146,2.0,1.0,10.0,256,2
29,0.9995,0.0005000000237487257,-2.651589870452881,1.5,-1.5,0.0,256,2
30,0.997,0.0017500000540167093,-1.7340877056121826,2.0,-0.5,20.0,256,2
31,0.99075,0.00950000062584877,-1.6955565214157104,3.5,-1.5,20.0,256,2
32,0.99975,0.0,-2.40061354637146,1.5,-1.5,0.0,256,2
33,0.9975,0.0027500002179294825,-2.860339879989624,3.0,-1.5,10.0,256,2
34,0.9985,0.001500000013038516,-2.7721621990203857,1.5,-1.5,0.0,256,2
35,1.0,0.0,-2.871980667114258,1.5,-1.5,0.0,256,2
36,1.0,0.0,-2.288968324661255,1.5,-1.5,0.0,256,2
37,0.99975,0.0002500000118743628,-2.673970937728882,1.5,-1.5,0.0,256,2
38,0.99925,0.000750000006519258,-2.565891742706299,1.5,-1.5,0.0,256,2
39,0.99375,0.005500000435858965,-2.049017906188965,1.5,-1.5,0.0,256,2
